id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
88464704,vue-element-admin,PanJiaChen,87907,2017-04-17T03:35:49Z,2024-11-07T06:04:04Z,15433,87907,1351,30462,Dashboard
15111821,grafana,grafana,64711,2013-12-11T15:59:56Z,2024-11-07T06:00:49Z,1169352,64711,4208,12113,Dashboard
43441403,strapi,strapi,63676,2015-09-30T15:34:48Z,2024-11-07T03:19:44Z,534844,63676,910,8101,Dashboard
20619036,pi-hole,pi-hole,49114,2014-06-08T15:02:55Z,2024-11-07T02:41:27Z,8178,49114,36,2696,Dashboard
15428480,AdminLTE,ColorlibHQ,44046,2013-12-25T02:52:40Z,2024-11-07T03:41:19Z,132669,44046,144,18165,Dashboard
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,Dashboard
30203935,metabase,metabase,38656,2015-02-02T19:25:47Z,2024-11-07T05:04:27Z,724198,38656,4332,5136,Dashboard
119811010,tabler,tabler,38038,2018-02-01T09:08:59Z,2024-11-07T05:16:29Z,297143,38038,91,3968,Dashboard
101394335,ant-design-pro,ant-design,36502,2017-08-25T10:40:44Z,2024-11-07T01:07:34Z,14000,36502,164,8145,Dashboard
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,Dashboard
11180687,hugo,gohugoio,75715,2013-07-04T15:26:26Z,2024-11-07T05:56:38Z,125863,75715,476,7528,CMS
43441403,strapi,strapi,63676,2015-09-30T15:34:48Z,2024-11-07T03:19:44Z,534844,63676,910,8101,CMS
9852918,Ghost,TryGhost,47410,2013-05-04T11:09:13Z,2024-11-07T02:47:57Z,323141,47410,173,10351,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,CMS
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,CMS
126178683,halo,halo-dev,33978,2018-03-21T12:56:52Z,2024-11-07T06:02:53Z,75088,33978,300,9693,CMS
7122594,directus,directus,27997,2012-12-12T01:35:36Z,2024-11-07T05:58:26Z,401617,27997,558,3896,CMS
327089870,payload,payloadcms,24962,2021-01-05T18:49:45Z,2024-11-07T03:25:31Z,126574,24962,466,1591,CMS
1213225,highlight.js,highlightjs,23682,2011-01-01T23:47:21Z,2024-11-07T05:06:25Z,14997,23682,104,3594,CMS
248372441,filament,filamentphp,19012,2020-03-19T00:19:18Z,2024-11-07T04:07:20Z,367489,19012,219,2939,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,E-commerce
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,E-commerce
91253698,ccxt,ccxt,32965,2017-05-14T15:41:56Z,2024-11-07T06:00:50Z,3733203,32965,1258,7524,E-commerce
234739976,medusa,medusajs,25766,2020-01-18T13:39:04Z,2024-11-07T02:36:44Z,384832,25766,327,2570,E-commerce
1213225,highlight.js,highlightjs,23682,2011-01-01T23:47:21Z,2024-11-07T05:06:25Z,14997,23682,104,3594,E-commerce
2649214,arangodb,arangodb,13562,2011-10-26T06:42:00Z,2024-11-06T20:43:53Z,2846117,13562,776,838,E-commerce
3314,spree,spree,13065,2008-03-10T14:45:35Z,2024-11-07T02:09:38Z,155694,13065,290,4951,E-commerce
12926963,reaction,reactioncommerce,12342,2013-09-18T15:30:36Z,2024-11-06T19:53:43Z,112678,12342,108,2173,E-commerce
100346588,vue-storefront,vuestorefront,10631,2017-08-15T06:33:52Z,2024-11-06T12:31:09Z,128670,10631,38,2082,E-commerce
18586705,nopCommerce,nopSolutions,9290,2014-04-09T05:47:50Z,2024-11-06T16:30:42Z,1288547,9290,110,5321,E-commerce
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,Portfolio
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,Portfolio
279064706,awesome-github-profile-readme,abhisheknaiidu,24592,2020-07-12T12:57:25Z,2024-11-07T04:40:38Z,12655,24592,585,3753,Portfolio
1213225,highlight.js,highlightjs,23682,2011-01-01T23:47:21Z,2024-11-07T05:06:25Z,14997,23682,104,3594,Portfolio
2649214,arangodb,arangodb,13562,2011-10-26T06:42:00Z,2024-11-06T20:43:53Z,2846117,13562,776,838,Portfolio
194216404,simplefolio,cobiwave,13455,2019-06-28T06:07:04Z,2024-11-06T16:37:35Z,16960,13455,77,5732,Portfolio
10267810,minimal-mistakes,mmistakes,12409,2013-05-24T14:13:30Z,2024-11-07T05:40:04Z,47239,12409,26,25555,Portfolio
281297416,hugo-PaperMod,adityatelange,9924,2020-07-21T04:45:10Z,2024-11-06T23:52:51Z,9551,9924,97,2692,Portfolio
13206906,purescript,purescript,8562,2013-09-30T05:29:23Z,2024-11-06T21:39:50Z,13829,8562,297,564,Portfolio
57165232,hugo-blox-builder,HugoBlox,8374,2016-04-26T22:09:15Z,2024-11-06T20:05:40Z,64417,8374,14,2905,Portfolio
138393139,the-book-of-secret-knowledge,trimstray,147997,2018-06-23T10:43:14Z,2024-11-07T06:05:22Z,1811,147997,76,9569,Blog
70107786,next.js,vercel,126798,2016-10-05T23:32:51Z,2024-11-07T06:13:04Z,2104766,126798,3514,26953,Blog
36040894,gatsby,gatsbyjs,55278,2015-05-21T22:43:05Z,2024-11-07T00:23:09Z,1147601,55278,391,10310,Blog
65252,jekyll,jekyll,49194,2008-10-20T06:29:03Z,2024-11-07T03:46:32Z,67255,49194,189,9975,Blog
348060227,astro,withastro,46620,2021-03-15T17:19:47Z,2024-11-07T06:09:46Z,186215,46620,160,2474,Blog
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,Blog
5923215,hexo,hexojs,39476,2012-09-23T15:17:08Z,2024-11-07T04:02:14Z,6872,39476,93,4855,Blog
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,Blog
126178683,halo,halo-dev,33978,2018-03-21T12:56:52Z,2024-11-07T06:02:53Z,75088,33978,300,9693,Blog
37382858,engineering-blogs,kilimchoi,31664,2015-06-13T18:25:17Z,2024-11-07T03:33:33Z,1339,31664,128,1626,Blog
574523116,awesome-chatgpt-prompts,f,112393,2022-12-05T13:54:13Z,2024-11-07T06:05:37Z,773,112393,298,15329,Chatbot
145553672,funNLP,fighting41love,68933,2018-08-21T11:20:39Z,2024-11-07T05:49:26Z,174188,68933,128,14499,Chatbot
620936652,gpt4free,xtekky,61036,2023-03-29T17:00:43Z,2024-11-07T04:53:41Z,162906,61036,25,13304,Chatbot
626805178,dify,langgenius,50878,2023-04-12T07:40:24Z,2024-11-07T06:13:12Z,55983,50878,337,7318,Chatbot
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,Chatbot
615882673,FastChat,lm-sys,36887,2023-03-19T00:18:02Z,2024-11-07T06:03:20Z,35160,36887,889,4545,Chatbot
640079149,quivr,QuivrHQ,36521,2023-05-12T23:53:30Z,2024-11-07T05:19:19Z,126552,36521,144,3565,Chatbot
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,Chatbot
680120071,autogen,microsoft,32728,2023-08-18T11:43:45Z,2024-11-07T06:02:25Z,134314,32728,524,4762,Chatbot
621799276,Langchain-Chatchat,chatchat-space,31908,2023-03-31T12:12:45Z,2024-11-07T04:00:08Z,143590,31908,112,5563,Chatbot
36633370,awesome-selfhosted,awesome-selfhosted,201986,2015-06-01T02:33:17Z,2024-11-07T06:08:10Z,16476,201986,0,9663,Social Network
65600975,pytorch,pytorch,83679,2016-08-13T05:26:41Z,2024-11-07T06:09:14Z,1004384,83679,15367,22576,Social Network
212639071,devops-exercises,bregman-arie,66542,2019-10-03T17:31:21Z,2024-11-06T23:50:11Z,4703,66542,33,14859,Social Network
3638964,ansible,ansible,62909,2012-03-06T14:58:02Z,2024-11-07T04:54:16Z,256419,62909,860,23901,Social Network
162998479,sherlock,sherlock-project,60093,2018-12-24T14:30:48Z,2024-11-07T05:52:46Z,17971,60093,215,6917,Social Network
41912791,v2ray-core,v2ray,45414,2015-09-04T11:42:53Z,2024-11-07T03:19:49Z,55125,45414,10,8947,Social Network
423275200,fuels-rs,FuelLabs,44056,2021-10-31T22:33:54Z,2024-11-06T20:42:13Z,16948,44056,94,1344,Social Network
402860175,fuels-ts,FuelLabs,44053,2021-09-03T18:11:03Z,2024-11-06T11:51:05Z,45290,44053,122,1345,Social Network
22458259,Alamofire,Alamofire,41125,2014-07-31T05:56:19Z,2024-11-07T03:26:17Z,38881,41125,41,7541,Social Network
191113739,interview_internal_reference,0voice,36615,2019-06-10T06:54:19Z,2024-11-06T22:28:41Z,1160,36615,31,9447,Social Network
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,Messaging
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,Messaging
19374812,tdesktop,telegramdesktop,26259,2014-05-02T12:36:31Z,2024-11-07T06:05:03Z,236311,26259,852,5216,Messaging
4307108,nsq,nsqio,24967,2012-05-12T14:37:08Z,2024-11-07T06:11:24Z,14163,24967,71,2902,Messaging
1213225,highlight.js,highlightjs,23682,2011-01-01T23:47:21Z,2024-11-07T05:06:25Z,14997,23682,104,3594,Messaging
75164823,rocketmq,apache,21219,2016-11-30T08:00:08Z,2024-11-06T11:30:23Z,42785,21219,428,11680,Messaging
600596928,LibreChat,danny-avila,18893,2023-02-12T01:06:52Z,2024-11-07T05:38:43Z,45837,18893,184,3147,Messaging
5901900,disruptor,LMAX-Exchange,17463,2012-09-21T13:42:24Z,2024-11-07T05:28:27Z,10070,17463,18,3927,Messaging
51575745,commitlint,conventional-changelog,16859,2016-02-12T08:37:56Z,2024-11-07T01:27:20Z,17851,16859,178,907,Messaging
6443435,nats-server,nats-io,15894,2012-10-29T16:12:24Z,2024-11-07T03:22:12Z,38818,15894,376,1404,Messaging
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,Forum
7569578,discourse,discourse,42238,2013-01-12T00:25:55Z,2024-11-07T05:54:45Z,673358,42238,66,8318,Forum
37958358,tesseract.js,naptha,35240,2015-06-24T02:49:52Z,2024-11-07T02:52:51Z,109171,35240,34,2228,Forum
1213225,highlight.js,highlightjs,23682,2011-01-01T23:47:21Z,2024-11-07T05:06:25Z,14997,23682,104,3594,Forum
28628034,flarum,flarum,15366,2014-12-30T11:13:08Z,2024-11-07T02:43:48Z,737,15366,1,1570,Forum
9603889,NodeBB,NodeBB,14209,2013-04-22T16:49:40Z,2024-11-07T03:11:38Z,91443,14209,180,2798,Forum
2649214,arangodb,arangodb,13562,2011-10-26T06:42:00Z,2024-11-06T20:43:53Z,2846117,13562,776,838,Forum
170729130,lemmy,LemmyNet,13251,2019-02-14T17:17:17Z,2024-11-06T15:58:46Z,36174,13251,191,879,Forum
542931741,incubator-answer,apache,12885,2022-09-29T05:16:19Z,2024-11-07T02:55:34Z,12464,12885,78,993,Forum
6486826,ppsspp,hrydgard,11328,2012-11-01T08:41:48Z,2024-11-07T05:57:57Z,314015,11328,1237,2178,Forum
28457823,freeCodeCamp,freeCodeCamp,405132,2014-12-24T17:49:19Z,2024-11-07T06:14:30Z,474255,405132,240,38000,Community
291137,ohmyzsh,ohmyzsh,173781,2009-08-28T18:15:37Z,2024-11-07T05:53:59Z,12076,173781,425,25899,Community
15204860,papers-we-love,papers-we-love,87946,2013-12-15T14:31:41Z,2024-11-07T04:56:34Z,230581,87946,1,5740,Community
52281283,mastodon,mastodon,47068,2016-02-22T15:01:25Z,2024-11-07T06:13:00Z,263056,47068,4376,6967,Community
68720867,first-contributions,firstcontributions,45373,2016-09-20T14:35:09Z,2024-11-07T06:09:44Z,48871,45373,1469,79788,Community
229764465,30-Days-Of-JavaScript,Asabeneh,43212,2019-12-23T14:07:40Z,2024-11-07T05:37:10Z,124975,43212,345,10018,Community
7569578,discourse,discourse,42238,2013-01-12T00:25:55Z,2024-11-07T05:54:45Z,673358,42238,66,8318,Community
69629434,freecodecamp.cn,FreeCodeCampChina,37061,2016-09-30T03:13:43Z,2024-11-06T20:45:15Z,30959,37061,151,1377,Community
37958358,tesseract.js,naptha,35241,2015-06-24T02:49:52Z,2024-11-07T06:15:06Z,109171,35241,34,2228,Community
441903012,90DaysOfDevOps,MichaelCade,27202,2021-12-26T13:55:18Z,2024-11-07T03:49:26Z,373913,27202,9,6318,Community
