id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
88464704,vue-element-admin,PanJiaChen,87925,2017-04-17T03:35:49Z,2024-11-08T11:06:05Z,15433,87925,1351,30460,Dashboard
15111821,grafana,grafana,64921,2013-12-11T15:59:56Z,2024-11-08T15:07:50Z,1171156,64921,4253,12119,Dashboard
43441403,strapi,strapi,63694,2015-09-30T15:34:48Z,2024-11-08T14:51:26Z,528051,63694,904,8104,Dashboard
20619036,pi-hole,pi-hole,49129,2014-06-08T15:02:55Z,2024-11-08T14:39:47Z,8178,49129,36,2698,Dashboard
15428480,AdminLTE,ColorlibHQ,44053,2013-12-25T02:52:40Z,2024-11-08T11:05:53Z,132669,44053,146,18163,Dashboard
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,Dashboard
30203935,metabase,metabase,38684,2015-02-02T19:25:47Z,2024-11-08T15:05:05Z,725078,38684,4356,5136,Dashboard
119811010,tabler,tabler,38049,2018-02-01T09:08:59Z,2024-11-08T14:40:57Z,297143,38049,91,3970,Dashboard
101394335,ant-design-pro,ant-design,36507,2017-08-25T10:40:44Z,2024-11-08T12:27:57Z,14000,36507,165,8146,Dashboard
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,Dashboard
11180687,hugo,gohugoio,75749,2013-07-04T15:26:26Z,2024-11-08T15:14:41Z,125902,75749,477,7531,CMS
43441403,strapi,strapi,63694,2015-09-30T15:34:48Z,2024-11-08T14:51:26Z,528051,63694,904,8104,CMS
9852918,Ghost,TryGhost,47429,2013-05-04T11:09:13Z,2024-11-08T15:02:54Z,322632,47429,168,10354,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,CMS
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,CMS
126178683,halo,halo-dev,33998,2018-03-21T12:56:52Z,2024-11-08T13:15:28Z,75088,33998,300,9698,CMS
7122594,directus,directus,28019,2012-12-12T01:35:36Z,2024-11-08T12:50:40Z,401654,28019,573,3901,CMS
327089870,payload,payloadcms,25073,2021-01-05T18:49:45Z,2024-11-08T15:19:53Z,127346,25073,475,1597,CMS
1213225,highlight.js,highlightjs,23690,2011-01-01T23:47:21Z,2024-11-08T14:30:13Z,14997,23690,107,3595,CMS
248372441,filament,filamentphp,19059,2020-03-19T00:19:18Z,2024-11-08T13:48:15Z,367516,19059,210,2941,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,E-commerce
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,E-commerce
91253698,ccxt,ccxt,32984,2017-05-14T15:41:56Z,2024-11-08T15:10:15Z,3729215,32984,1248,7532,E-commerce
234739976,medusa,medusajs,25796,2020-01-18T13:39:04Z,2024-11-08T13:46:00Z,385008,25796,328,2575,E-commerce
1213225,highlight.js,highlightjs,23690,2011-01-01T23:47:21Z,2024-11-08T14:30:13Z,14997,23690,107,3595,E-commerce
2649214,arangodb,arangodb,13563,2011-10-26T06:42:00Z,2024-11-08T13:41:40Z,2844768,13563,777,836,E-commerce
