id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
88464704,vue-element-admin,PanJiaChen,87924,2017-04-17T03:35:49Z,2024-11-08T16:43:43Z,15433,87924,1351,30460,Dashboard
15111821,grafana,grafana,64924,2013-12-11T15:59:56Z,2024-11-09T02:43:12Z,1170009,64924,4245,12119,Dashboard
43441403,strapi,strapi,63698,2015-09-30T15:34:48Z,2024-11-09T01:05:51Z,534301,63698,904,8106,Dashboard
20619036,pi-hole,pi-hole,49133,2014-06-08T15:02:55Z,2024-11-09T01:05:14Z,8178,49133,36,2698,Dashboard
15428480,AdminLTE,ColorlibHQ,44054,2013-12-25T02:52:40Z,2024-11-09T01:30:12Z,132669,44054,146,18162,Dashboard
229764465,30-Days-Of-JavaScript,Asabeneh,43220,2019-12-23T14:07:40Z,2024-11-08T23:26:22Z,124975,43220,345,10024,Dashboard
30203935,metabase,metabase,38688,2015-02-02T19:25:47Z,2024-11-09T02:36:06Z,725695,38688,4357,5135,Dashboard
119811010,tabler,tabler,38051,2018-02-01T09:08:59Z,2024-11-08T18:47:26Z,297143,38051,91,3972,Dashboard
101394335,ant-design-pro,ant-design,36509,2017-08-25T10:40:44Z,2024-11-09T02:47:34Z,14000,36509,165,8146,Dashboard
37958358,tesseract.js,naptha,35252,2015-06-24T02:49:52Z,2024-11-09T00:30:59Z,109171,35252,35,2227,Dashboard
11180687,hugo,gohugoio,75761,2013-07-04T15:26:26Z,2024-11-09T03:18:51Z,125902,75761,477,7531,CMS
43441403,strapi,strapi,63698,2015-09-30T15:34:48Z,2024-11-09T01:05:51Z,534301,63698,904,8106,CMS
9852918,Ghost,TryGhost,47435,2013-05-04T11:09:13Z,2024-11-09T01:52:15Z,322632,47435,168,10353,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43220,2019-12-23T14:07:40Z,2024-11-08T23:26:22Z,124975,43220,345,10024,CMS
37958358,tesseract.js,naptha,35252,2015-06-24T02:49:52Z,2024-11-09T00:30:59Z,109171,35252,35,2227,CMS
126178683,halo,halo-dev,34000,2018-03-21T12:56:52Z,2024-11-09T03:00:50Z,75088,34000,302,9701,CMS
7122594,directus,directus,28030,2012-12-12T01:35:36Z,2024-11-09T01:48:21Z,401654,28030,573,3904,CMS
327089870,payload,payloadcms,25111,2021-01-05T18:49:45Z,2024-11-09T02:02:12Z,127395,25111,465,1600,CMS
1213225,highlight.js,highlightjs,23691,2011-01-01T23:47:21Z,2024-11-09T00:32:11Z,14997,23691,106,3595,CMS
248372441,filament,filamentphp,19068,2020-03-19T00:19:18Z,2024-11-09T02:07:04Z,367516,19068,211,2941,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43220,2019-12-23T14:07:40Z,2024-11-08T23:26:22Z,124975,43220,345,10024,E-commerce
37958358,tesseract.js,naptha,35252,2015-06-24T02:49:52Z,2024-11-09T00:30:59Z,109171,35252,35,2227,E-commerce
91253698,ccxt,ccxt,32987,2017-05-14T15:41:56Z,2024-11-09T01:38:36Z,3737042,32987,1252,7533,E-commerce
234739976,medusa,medusajs,25803,2020-01-18T13:39:04Z,2024-11-09T03:08:42Z,385005,25803,323,2575,E-commerce
1213225,highlight.js,highlightjs,23691,2011-01-01T23:47:21Z,2024-11-09T00:32:11Z,14997,23691,106,3595,E-commerce
2649214,arangodb,arangodb,13564,2011-10-26T06:42:00Z,2024-11-08T19:14:03Z,2844772,13564,777,836,E-commerce
3314,spree,spree,13069,2008-03-10T14:45:35Z,2024-11-08T17:38:07Z,155723,13069,290,4950,E-commerce
12926963,reaction,reactioncommerce,12342,2013-09-18T15:30:36Z,2024-11-06T19:53:43Z,112678,12342,108,2173,E-commerce
100346588,vue-storefront,vuestorefront,10632,2017-08-15T06:33:52Z,2024-11-08T14:03:37Z,129183,10632,38,2082,E-commerce
18586705,nopCommerce,nopSolutions,9295,2014-04-09T05:47:50Z,2024-11-09T02:15:42Z,1289136,9295,125,5320,E-commerce
229764465,30-Days-Of-JavaScript,Asabeneh,43220,2019-12-23T14:07:40Z,2024-11-08T23:26:22Z,124975,43220,345,10024,Portfolio
37958358,tesseract.js,naptha,35252,2015-06-24T02:49:52Z,2024-11-09T00:30:59Z,109171,35252,35,2227,Portfolio
279064706,awesome-github-profile-readme,abhisheknaiidu,24611,2020-07-12T12:57:25Z,2024-11-08T21:43:41Z,12655,24611,588,3757,Portfolio
1213225,highlight.js,highlightjs,23691,2011-01-01T23:47:21Z,2024-11-09T00:32:11Z,14997,23691,106,3595,Portfolio
2649214,arangodb,arangodb,13564,2011-10-26T06:42:00Z,2024-11-08T19:14:03Z,2844772,13564,777,836,Portfolio
194216404,simplefolio,cobiwave,13455,2019-06-28T06:07:04Z,2024-11-08T22:36:55Z,16960,13455,77,5733,Portfolio
10267810,minimal-mistakes,mmistakes,12410,2013-05-24T14:13:30Z,2024-11-08T15:25:50Z,47239,12410,27,25565,Portfolio
