id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
88464704,vue-element-admin,PanJiaChen,88000,2017-04-17T03:35:49Z,2024-11-16T08:45:32Z,15433,88000,1355,30475,Dashboard
15111821,grafana,grafana,65068,2013-12-11T15:59:56Z,2024-11-16T09:01:14Z,1175381,65068,4230,12145,Dashboard
43441403,strapi,strapi,63793,2015-09-30T15:34:48Z,2024-11-16T09:58:40Z,529306,63793,912,8129,Dashboard
20619036,pi-hole,pi-hole,49210,2014-06-08T15:02:55Z,2024-11-16T08:33:19Z,8182,49210,38,2699,Dashboard
15428480,AdminLTE,ColorlibHQ,44071,2013-12-25T02:52:40Z,2024-11-16T04:38:00Z,133209,44071,148,18167,Dashboard
229764465,30-Days-Of-JavaScript,Asabeneh,43274,2019-12-23T14:07:40Z,2024-11-16T08:09:40Z,124975,43274,345,10038,Dashboard
30203935,metabase,metabase,38773,2015-02-02T19:25:47Z,2024-11-16T10:37:49Z,730030,38773,4428,5148,Dashboard
119811010,tabler,tabler,38075,2018-02-01T09:08:59Z,2024-11-16T09:23:11Z,297143,38075,93,3980,Dashboard
101394335,ant-design-pro,ant-design,36536,2017-08-25T10:40:44Z,2024-11-16T07:43:34Z,14000,36536,167,8150,Dashboard
37958358,tesseract.js,naptha,35297,2015-06-24T02:49:52Z,2024-11-16T07:18:57Z,109171,35297,35,2230,Dashboard
11180687,hugo,gohugoio,75902,2013-07-04T15:26:26Z,2024-11-16T09:34:27Z,126260,75902,478,7542,CMS
9852918,Ghost,TryGhost,47513,2013-05-04T11:09:13Z,2024-11-16T09:45:23Z,322353,47513,168,10370,CMS
126178683,halo,halo-dev,34056,2018-03-21T12:56:52Z,2024-11-16T07:22:50Z,75090,34056,313,9712,CMS
7122594,directus,directus,28116,2012-12-12T01:35:36Z,2024-11-16T09:46:44Z,401720,28116,586,3915,CMS
327089870,payload,payloadcms,25654,2021-01-05T18:49:45Z,2024-11-16T09:37:47Z,128823,25654,473,1631,CMS
1213225,highlight.js,highlightjs,23730,2011-01-01T23:47:21Z,2024-11-16T01:36:38Z,15004,23730,108,3600,CMS
248372441,filament,filamentphp,19243,2020-03-19T00:19:18Z,2024-11-16T10:19:46Z,370093,19243,215,2957,CMS
16479108,wagtail,wagtail,18356,2014-02-03T12:41:59Z,2024-11-16T09:22:17Z,225784,18356,994,3878,CMS
29514104,decap-cms,decaporg,17949,2015-01-20T05:47:47Z,2024-11-16T08:01:43Z,87904,17949,495,3046,CMS
11116372,keystone-classic,keystonejs,14628,2013-07-02T05:01:55Z,2024-11-15T02:14:23Z,151918,14628,357,2212,CMS
91253698,ccxt,ccxt,33106,2017-05-14T15:41:56Z,2024-11-16T10:26:06Z,3795390,33106,1242,7547,E-commerce
234739976,medusa,medusajs,25935,2020-01-18T13:39:04Z,2024-11-16T08:41:01Z,387747,25935,262,2602,E-commerce
2649214,arangodb,arangodb,13571,2011-10-26T06:42:00Z,2024-11-16T02:04:47Z,2846473,13571,783,836,E-commerce
3314,spree,spree,13085,2008-03-10T14:45:35Z,2024-11-15T21:58:42Z,155844,13085,293,4950,E-commerce
12926963,reaction,reactioncommerce,12347,2013-09-18T15:30:36Z,2024-11-15T18:46:02Z,112678,12347,108,2173,E-commerce
100346588,vue-storefront,vuestorefront,10640,2017-08-15T06:33:52Z,2024-11-16T03:33:06Z,128996,10640,37,2084,E-commerce
18586705,nopCommerce,nopSolutions,9310,2014-04-09T05:47:50Z,2024-11-15T21:29:30Z,1288959,9310,142,5327,E-commerce
13206906,purescript,purescript,8575,2013-09-30T05:29:23Z,2024-11-15T21:52:18Z,13829,8575,297,564,E-commerce
6763587,PrestaShop,PrestaShop,8227,2012-11-19T16:41:31Z,2024-11-16T10:14:15Z,759429,8227,2757,4805,E-commerce
18376387,GoJS,NorthwoodsSoftware,7808,2014-04-02T18:18:40Z,2024-11-16T05:55:31Z,129811,7808,1,2860,E-commerce
279064706,awesome-github-profile-readme,abhisheknaiidu,24687,2020-07-12T12:57:25Z,2024-11-16T08:38:29Z,12655,24687,559,3770,Portfolio
194216404,simplefolio,cobiwave,13461,2019-06-28T06:07:04Z,2024-11-15T21:09:35Z,16960,13461,77,5746,Portfolio
10267810,minimal-mistakes,mmistakes,12437,2013-05-24T14:13:30Z,2024-11-16T10:38:37Z,47239,12437,30,25628,Portfolio
281297416,hugo-PaperMod,adityatelange,10222,2020-07-21T04:45:10Z,2024-11-16T06:54:22Z,9571,10222,89,2717,Portfolio
57165232,hugo-blox-builder,HugoBlox,8376,2016-04-26T22:09:15Z,2024-11-15T12:59:40Z,64417,8376,18,2906,Portfolio
28468993,curlconverter,curlconverter,7536,2014-12-25T03:07:06Z,2024-11-16T05:58:00Z,2788,7536,37,934,Portfolio
208279416,developer-portfolios,emmabostian,7470,2019-09-13T14:18:58Z,2024-11-16T05:36:54Z,1796,7470,9,1671,Portfolio
162028712,site,leerob,7188,2018-12-16T18:22:37Z,2024-11-15T04:30:20Z,206730,7188,1,1395,Portfolio
25131304,jss,cssinjs,7079,2014-10-12T20:33:53Z,2024-11-13T06:27:49Z,8175,7079,220,399,Portfolio
49159983,rescript,rescript-lang,6751,2016-01-06T20:34:59Z,2024-11-15T21:18:17Z,1916118,6751,173,449,Portfolio
138393139,the-book-of-secret-knowledge,trimstray,148831,2018-06-23T10:43:14Z,2024-11-16T10:38:21Z,1811,148831,75,9582,Blog
70107786,next.js,vercel,127028,2016-10-05T23:32:51Z,2024-11-16T10:13:31Z,2110203,127028,3520,26993,Blog
36040894,gatsby,gatsbyjs,55266,2015-05-21T22:43:05Z,2024-11-16T09:34:25Z,1145539,55266,389,10306,Blog
65252,jekyll,jekyll,49226,2008-10-20T06:29:03Z,2024-11-16T10:27:13Z,67255,49226,193,9979,Blog
348060227,astro,withastro,46809,2021-03-15T17:19:47Z,2024-11-16T09:22:14Z,187366,46809,176,2489,Blog
5923215,hexo,hexojs,39531,2012-09-23T15:17:08Z,2024-11-16T07:38:13Z,6872,39531,94,4859,Blog
37382858,engineering-blogs,kilimchoi,31701,2015-06-13T18:25:17Z,2024-11-16T06:04:55Z,1339,31701,129,1630,Blog
84811466,Blog,mqyqingfeng,30763,2017-03-13T10:04:33Z,2024-11-15T06:45:43Z,4685,30763,221,4713,Blog
277168957,applied-ml,eugeneyan,27327,2020-07-04T18:57:47Z,2024-11-16T07:30:53Z,397,27327,2,3689,Blog
19141383,blog,fouber,22629,2014-04-25T09:44:42Z,2024-11-14T02:04:05Z,19107,22629,10,2369,Blog
574523116,awesome-chatgpt-prompts,f,112695,2022-12-05T13:54:13Z,2024-11-16T10:24:27Z,692,112695,300,15374,Chatbot
145553672,funNLP,fighting41love,69139,2018-08-21T11:20:39Z,2024-11-16T09:07:11Z,174188,69139,128,14517,Chatbot
620936652,gpt4free,xtekky,61195,2023-03-29T17:00:43Z,2024-11-16T09:52:33Z,162944,61195,30,13322,Chatbot
626805178,dify,langgenius,51782,2023-04-12T07:40:24Z,2024-11-16T10:37:31Z,58555,51782,359,7502,Chatbot
615882673,FastChat,lm-sys,36962,2023-03-19T00:18:02Z,2024-11-16T06:35:44Z,35172,36962,894,4557,Chatbot
640079149,quivr,QuivrHQ,36659,2023-05-12T23:53:30Z,2024-11-16T09:10:36Z,126557,36659,142,3579,Chatbot
680120071,autogen,microsoft,34142,2023-08-18T11:43:45Z,2024-11-16T10:35:03Z,134886,34142,556,4935,Chatbot
621799276,Langchain-Chatchat,chatchat-space,32050,2023-03-31T12:12:45Z,2024-11-16T06:12:25Z,143596,32050,123,5574,Chatbot
621803253,Flowise,FlowiseAI,31530,2023-03-31T12:23:09Z,2024-11-16T09:29:40Z,27964,31530,392,16427,Chatbot
612640604,chatbot-ui,mckaywrigley,28784,2023-03-11T14:53:14Z,2024-11-16T09:34:48Z,3644,28784,187,8014,Chatbot
36633370,awesome-selfhosted,awesome-selfhosted,203225,2015-06-01T02:33:17Z,2024-11-16T10:37:47Z,16381,203225,0,9696,Social Network
65600975,pytorch,pytorch,83980,2016-08-13T05:26:41Z,2024-11-16T10:09:32Z,1003937,83980,15601,22636,Social Network
212639071,devops-exercises,bregman-arie,66653,2019-10-03T17:31:21Z,2024-11-16T10:22:42Z,4703,66653,34,14885,Social Network
3638964,ansible,ansible,62990,2012-03-06T14:58:02Z,2024-11-16T10:27:17Z,256219,62990,875,23914,Social Network
162998479,sherlock,sherlock-project,60389,2018-12-24T14:30:48Z,2024-11-16T08:23:39Z,17836,60389,203,6948,Social Network
41912791,v2ray-core,v2ray,45452,2015-09-04T11:42:53Z,2024-11-16T07:00:55Z,55128,45452,12,8952,Social Network
423275200,fuels-rs,FuelLabs,44041,2021-10-31T22:33:54Z,2024-11-15T15:37:59Z,16997,44041,96,1343,Social Network
402860175,fuels-ts,FuelLabs,44041,2021-09-03T18:11:03Z,2024-11-15T15:37:58Z,44621,44041,106,1345,Social Network
22458259,Alamofire,Alamofire,41152,2014-07-31T05:56:19Z,2024-11-16T06:14:06Z,38881,41152,41,7544,Social Network
191113739,interview_internal_reference,0voice,36628,2019-06-10T06:54:19Z,2024-11-15T09:22:04Z,1160,36628,31,9448,Social Network
19374812,tdesktop,telegramdesktop,26327,2014-05-02T12:36:31Z,2024-11-16T09:11:14Z,236295,26327,860,5230,Messaging
4307108,nsq,nsqio,24985,2012-05-12T14:37:08Z,2024-11-16T08:15:36Z,14163,24985,70,2899,Messaging
75164823,rocketmq,apache,21252,2016-11-30T08:00:08Z,2024-11-16T09:31:41Z,42807,21252,442,11696,Messaging
600596928,LibreChat,danny-avila,19127,2023-02-12T01:06:52Z,2024-11-16T09:32:23Z,46193,19127,188,3184,Messaging
5901900,disruptor,LMAX-Exchange,17498,2012-09-21T13:42:24Z,2024-11-15T02:05:45Z,10070,17498,18,3923,Messaging
51575745,commitlint,conventional-changelog,16894,2016-02-12T08:37:56Z,2024-11-16T06:54:50Z,18011,16894,178,908,Messaging
6443435,nats-server,nats-io,15967,2012-10-29T16:12:24Z,2024-11-16T08:25:18Z,39150,15967,382,1407,Messaging
71551629,gitmoji,carloscuesta,15783,2016-10-21T09:36:02Z,2024-11-16T00:58:34Z,7025,15783,25,802,Messaging
10999165,bull,OptimalBits,15568,2013-06-27T14:35:35Z,2024-11-16T05:28:20Z,3978,15568,157,1433,Messaging
2281775,WebViewJavascriptBridge,marcuswestin,14296,2011-08-28T02:25:27Z,2024-11-14T12:31:42Z,522,14296,104,2981,Messaging
7569578,discourse,discourse,42329,2013-01-12T00:25:55Z,2024-11-16T07:22:21Z,680980,42329,74,8335,Forum
28628034,flarum,flarum,15380,2014-12-30T11:13:08Z,2024-11-15T15:06:48Z,737,15380,1,1572,Forum
9603889,NodeBB,NodeBB,14228,2013-04-22T16:49:40Z,2024-11-15T22:52:23Z,92267,14228,178,2799,Forum
170729130,lemmy,LemmyNet,13284,2019-02-14T17:17:17Z,2024-11-16T08:28:44Z,36155,13284,182,884,Forum
542931741,incubator-answer,apache,12937,2022-09-29T05:16:19Z,2024-11-16T07:09:06Z,12586,12937,87,1000,Forum
6486826,ppsspp,hrydgard,11380,2012-11-01T08:41:48Z,2024-11-16T05:32:57Z,313404,11380,1247,2186,Forum
3199002,linux,raspberrypi,11172,2012-01-17T12:10:20Z,2024-11-16T05:26:48Z,4256657,11172,951,5011,Forum
118620583,TTS,mozilla,9404,2018-01-23T14:22:06Z,2024-11-16T10:38:23Z,125774,9404,33,1254,Forum
28257573,framework,flarum,6378,2014-12-20T05:12:03Z,2024-11-16T06:50:40Z,139787,6378,53,837,Forum
75675698,app,standardnotes,5376,2016-12-05T23:31:33Z,2024-11-16T05:39:22Z,1654551,5376,83,427,Forum
28457823,freeCodeCamp,freeCodeCamp,405548,2014-12-24T17:49:19Z,2024-11-16T10:25:59Z,474747,405548,237,38048,Community
291137,ohmyzsh,ohmyzsh,174000,2009-08-28T18:15:37Z,2024-11-16T10:18:12Z,12087,174000,432,25912,Community
15204860,papers-we-love,papers-we-love,88141,2013-12-15T14:31:41Z,2024-11-16T08:52:52Z,230831,88141,1,5745,Community
52281283,mastodon,mastodon,47137,2016-02-22T15:01:25Z,2024-11-16T08:15:44Z,265610,47137,4393,6983,Community
68720867,first-contributions,firstcontributions,45527,2016-09-20T14:35:09Z,2024-11-16T10:09:34Z,50064,45527,1501,80047,Community
69629434,freecodecamp.cn,FreeCodeCampChina,37070,2016-09-30T03:13:43Z,2024-11-15T16:43:19Z,30959,37070,151,1374,Community
441903012,90DaysOfDevOps,MichaelCade,27257,2021-12-26T13:55:18Z,2024-11-16T08:14:59Z,373926,27257,8,6324,Community
265122478,manim,ManimCommunity,26285,2020-05-19T02:37:13Z,2024-11-16T10:25:31Z,41486,26285,458,1798,Community
28723659,awesome-deep-learning,ChristosChristofidis,24253,2015-01-02T19:28:35Z,2024-11-16T07:32:04Z,832,24253,37,6052,Community
621118467,JARVIS,microsoft,23712,2023-03-30T02:57:12Z,2024-11-15T18:22:26Z,41678,23712,92,1967,Community
