id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,language,forks,description,topics,topic
528313152,homepage+gethomepage,gethomepage,19716,2022-08-24T07:29:42Z,2024-11-20T08:50:13Z,48141,19716,1,JavaScript,1178,A highly customizable homepage (or startpage / application dashboard) with Docker and service API integrations.,"['docker', 'homepage', 'nextjs', 'node', 'react', 'self-hosted', 'startpage']",Dashboard
29247444,blessed-contrib+yaronn,yaronn,15498,2015-01-14T14:18:07Z,2024-11-19T10:24:11Z,5490,15498,96,JavaScript,840,Build terminal dashboards using ascii/ansi art and javascript,[],Dashboard
65678789,webpack-dashboard+FormidableLabs,FormidableLabs,13865,2016-08-14T17:44:33Z,2024-11-20T05:17:44Z,2109,13865,39,JavaScript,363,A CLI dashboard for webpack dev server,"['cli', 'cli-dashboard', 'dashboard', 'devtools', 'dx', 'socket-communication', 'webpack', 'webpack-dashboard']",Dashboard
117360777,d2-admin+d2-projects,d2-projects,12595,2018-01-13T16:51:52Z,2024-11-18T10:11:35Z,22711,12595,23,JavaScript,2457,An elegant dashboard,[],Dashboard
13622189,linux-dash+tariqbuilds,tariqbuilds,10428,2013-10-16T14:58:47Z,2024-11-20T03:13:01Z,4694,10428,44,JavaScript,1204,A beautiful web dashboard for Linux,"['dashboard', 'linux', 'linux-dash', 'monitoring', 'server', 'ui', 'web']",Dashboard
99822164,gtop+aksakalli,aksakalli,9732,2017-08-09T15:12:28Z,2024-11-20T06:40:57Z,444,9732,40,JavaScript,326,System monitoring dashboard for terminal,"['command-line', 'monitoring', 'nodejs', 'system-monitoring', 'top', 'tui']",Dashboard
50334710,antd-admin+zuiidea,zuiidea,9636,2016-01-25T07:46:15Z,2024-11-20T01:43:22Z,25261,9636,35,JavaScript,2521,An excellent front-end solution for enterprise applications built upon Ant Design and UmiJS,"['admin', 'antd', 'dashboard', 'mock', 'react']",Dashboard
209381919,roughViz+jwilber,jwilber,6733,2019-09-18T18:52:35Z,2024-11-17T11:22:44Z,3572,6733,12,JavaScript,227,Reusable JavaScript library for creating sketchy/hand-drawn styled charts in the browser.,"['charting-library', 'd3v5', 'dashboard', 'data-science', 'data-visualization', 'visualization']",Dashboard
11726302,freeboard+Freeboard,Freeboard,6453,2013-07-28T21:46:36Z,2024-11-20T03:49:58Z,3056,6453,167,JavaScript,1196,"A damn-sexy, open source real-time dashboard builder for IOT and other web mashups. A free open-source alternative to Geckoboard.",[],Dashboard
9852918,Ghost+TryGhost,TryGhost,47554,2013-05-04T11:09:13Z,2024-11-20T08:46:40Z,323469,47554,172,JavaScript,10376,"Independent technology for modern publishing, memberships, subscriptions and newsletters.","['blogging', 'cms', 'creator-economy', 'ghost', 'hacktoberfest', 'headless-cms', 'jamstack', 'javascript', 'journalism', 'nodejs', 'publishing', 'web-application']",CMS
29514104,decap-cms+decaporg,decaporg,17958,2015-01-20T05:47:47Z,2024-11-20T08:40:21Z,87904,17958,495,JavaScript,3046,A Git-based CMS for Static Site Generators,"['cms', 'content-management-system', 'decap-cms', 'git-based-cms', 'headless-cms', 'jamstack', 'javascript', 'netlify-cms', 'npm-package', 'react', 'static', 'static-site', 'static-site-generator']",CMS
