package,dependency,version
minimist-options,arrify,^1.0.1
minimist-options,is-plain-obj,^1.1.0
minimist-options,kind-of,^6.0.3
atomically,stubborn-fs,^1.2.5
atomically,when-exit,^2.1.1
debounce-fn,mimic-function,^5.0.0
ajv-formats,ajv,^8.0.0
@unhead/ssr,@unhead/shared,1.11.11
@unhead/ssr,@unhead/schema,1.11.11
react-devtools-core,shell-quote,^1.6.1
react-devtools-core,ws,^7
@aws-sdk/client-ses,@aws-crypto/sha256-browser,5.2.0
@aws-sdk/client-ses,@aws-crypto/sha256-js,5.2.0
@aws-sdk/client-ses,@aws-sdk/client-sso-oidc,3.686.0
@aws-sdk/client-ses,@aws-sdk/client-sts,3.686.0
@aws-sdk/client-ses,@aws-sdk/core,3.686.0
@aws-sdk/client-ses,@aws-sdk/credential-provider-node,3.686.0
@aws-sdk/client-ses,@aws-sdk/middleware-host-header,3.686.0
@aws-sdk/client-ses,@aws-sdk/middleware-logger,3.686.0
@aws-sdk/client-ses,@aws-sdk/middleware-recursion-detection,3.686.0
@aws-sdk/client-ses,@aws-sdk/middleware-user-agent,3.686.0
@aws-sdk/client-ses,@aws-sdk/region-config-resolver,3.686.0
@aws-sdk/client-ses,@aws-sdk/types,3.686.0
@aws-sdk/client-ses,@aws-sdk/util-endpoints,3.686.0
@aws-sdk/client-ses,@aws-sdk/util-user-agent-browser,3.686.0
@aws-sdk/client-ses,@aws-sdk/util-user-agent-node,3.686.0
@aws-sdk/client-ses,@smithy/config-resolver,^3.0.10
@aws-sdk/client-ses,@smithy/core,^2.5.1
@aws-sdk/client-ses,@smithy/fetch-http-handler,^4.0.0
@aws-sdk/client-ses,@smithy/hash-node,^3.0.8
@aws-sdk/client-ses,@smithy/invalid-dependency,^3.0.8
@aws-sdk/client-ses,@smithy/middleware-content-length,^3.0.10
@aws-sdk/client-ses,@smithy/middleware-endpoint,^3.2.1
@aws-sdk/client-ses,@smithy/middleware-retry,^3.0.25
