package,latest_version,keywords,publish_time,description,creation_date,number_of_versions,download_count
esquery,1.6.0,"['ast', 'ecmascript', 'javascript', 'query']",1720427718,A query library for ECMAScript AST using a CSS selector like query language.,2013-07-24T00:20:02.985Z,17,1652655533
napi-build-utils,1.0.2,"['n-api', 'prebuild', 'prebuild-install']",1583419393,A set of utilities to assist developers of tools that build N-API native add-ons,2018-09-12T23:11:05.489Z,3,288107438
@web3modal/wallet,5.1.11,"['web3', 'crypto', 'ethereum', 'web3modal', 'walletconnect', 'lit', 'webcomponents']",1727852066,#### 🔗 [Website](https://web3modal.com),2023-12-05T11:45:35.301Z,183,1857226
caniuse-lite,1.0.30001680,['support'],1731253639,"A smaller version of caniuse-db, with only the essentials!",2017-01-27T16:04:02.256Z,855,2353828288
fullcalendar,6.1.15,"['calendar', 'event', 'full-sized', 'fullcalendar']",1720792076,Easily render a full-sized drag & drop calendar with a combination of standard plugins,2015-03-09T09:09:27.809Z,97,7134336
input-format,0.3.11,"['input', 'format', 'template', 'text', 'caret']",1731634746,Formatting user's text input on-the-fly,2016-12-12T19:27:12.127Z,44,27376897
@msgpackr-extract/msgpackr-extract-linux-arm64,3.0.3,[],1717880038,Platform specific binary for msgpackr-extract on linux OS with arm64 architecture,2022-05-18T14:39:51.199Z,10,26584862
gulp.spritesmith,6.13.1,"['gulpplugin', 'spritesmith', 'sprite', 'spritesheet']",1720031697,Convert a set of images into a spritesheet and CSS variables via gulp,2014-02-16T02:49:39.509Z,79,882235
vue-server-renderer,2.7.16,"['vue', 'server', 'ssr']",1703401333,server renderer for Vue 2.0,2016-06-10T15:47:38.739Z,147,19266277
dotenv,16.4.5,"['dotenv', 'env', '.env', 'environment', 'variables', 'config', 'settings']",1708371218,Loads environment variables from .env file,2013-07-05T18:29:15.210Z,86,1949577235
@types/supports-color,8.1.3,[],1699348933,TypeScript definitions for supports-color,2016-12-05T22:51:34.627Z,10,44086061
gl-surface3d,1.6.2,"['plot', 'surface', 'webgl', 'visualization', 'surf', 'height', 'field']",1715859020,Renders parametric surfaces in 3D,2015-03-18T17:21:10.284Z,37,2260504
npm-profile,11.0.1,[],1727858609,Library for updating an npmjs.com profile,2017-09-21T23:23:00.532Z,38,32917356
