id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
88464704,vue-element-admin,PanJiaChen,87907,2017-04-17T03:35:49Z,2024-11-06T05:12:45Z,15433,87907,1351,30462,Dashboard
15111821,grafana,grafana,64705,2013-12-11T15:59:56Z,2024-11-06T07:27:58Z,1168633,64705,4195,12108,Dashboard
43441403,strapi,strapi,63665,2015-09-30T15:34:48Z,2024-11-06T07:14:37Z,528703,63665,901,8098,Dashboard
20619036,pi-hole,pi-hole,49098,2014-06-08T15:02:55Z,2024-11-06T03:50:17Z,8239,49098,37,2698,Dashboard
15428480,AdminLTE,ColorlibHQ,44041,2013-12-25T02:52:40Z,2024-11-05T01:15:18Z,132669,44041,144,18167,Dashboard
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,Dashboard
30203935,metabase,metabase,38654,2015-02-02T19:25:47Z,2024-11-06T07:34:59Z,725546,38654,4301,5134,Dashboard
119811010,tabler,tabler,38037,2018-02-01T09:08:59Z,2024-11-06T07:38:33Z,297143,38037,91,3968,Dashboard
101394335,ant-design-pro,ant-design,36498,2017-08-25T10:40:44Z,2024-11-06T07:32:02Z,14000,36498,164,8145,Dashboard
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,Dashboard
11180687,hugo,gohugoio,75700,2013-07-04T15:26:26Z,2024-11-06T07:34:22Z,125798,75700,477,7527,CMS
43441403,strapi,strapi,63665,2015-09-30T15:34:48Z,2024-11-06T07:14:37Z,528703,63665,901,8098,CMS
9852918,Ghost,TryGhost,47405,2013-05-04T11:09:13Z,2024-11-06T07:31:33Z,322461,47405,166,10347,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,CMS
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,CMS
126178683,halo,halo-dev,33967,2018-03-21T12:56:52Z,2024-11-06T07:41:29Z,75088,33967,300,9689,CMS
7122594,directus,directus,27973,2012-12-12T01:35:36Z,2024-11-06T07:19:54Z,401859,27973,554,3892,CMS
327089870,payload,payloadcms,24945,2021-01-05T18:49:45Z,2024-11-06T06:17:13Z,126402,24945,474,1589,CMS
1213225,highlight.js,highlightjs,23681,2011-01-01T23:47:21Z,2024-11-06T03:50:18Z,14995,23681,104,3594,CMS
248372441,filament,filamentphp,18989,2020-03-19T00:19:18Z,2024-11-06T07:16:09Z,367231,18989,214,2935,CMS
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,E-commerce
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,E-commerce
91253698,ccxt,ccxt,32958,2017-05-14T15:41:56Z,2024-11-06T07:09:25Z,3729805,32958,1261,7523,E-commerce
234739976,medusa,medusajs,25759,2020-01-18T13:39:04Z,2024-11-06T06:42:03Z,380407,25759,339,2570,E-commerce
1213225,highlight.js,highlightjs,23681,2011-01-01T23:47:21Z,2024-11-06T03:50:18Z,14995,23681,104,3594,E-commerce
2649214,arangodb,arangodb,13565,2011-10-26T06:42:00Z,2024-11-06T06:11:42Z,2845634,13565,777,838,E-commerce
3314,spree,spree,13063,2008-03-10T14:45:35Z,2024-11-06T03:04:44Z,155689,13063,290,4951,E-commerce
12926963,reaction,reactioncommerce,12344,2013-09-18T15:30:36Z,2024-11-04T10:33:43Z,112678,12344,108,2173,E-commerce
100346588,vue-storefront,vuestorefront,10630,2017-08-15T06:33:52Z,2024-11-05T00:20:23Z,128406,10630,39,2083,E-commerce
18586705,nopCommerce,nopSolutions,9289,2014-04-09T05:47:50Z,2024-11-06T07:03:47Z,1288527,9289,112,5321,E-commerce
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,Portfolio
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,Portfolio
279064706,awesome-github-profile-readme,abhisheknaiidu,24588,2020-07-12T12:57:25Z,2024-11-06T07:06:03Z,12655,24588,582,3750,Portfolio
1213225,highlight.js,highlightjs,23681,2011-01-01T23:47:21Z,2024-11-06T03:50:18Z,14995,23681,104,3594,Portfolio
2649214,arangodb,arangodb,13565,2011-10-26T06:42:00Z,2024-11-06T06:11:42Z,2845634,13565,777,838,Portfolio
194216404,simplefolio,cobiwave,13452,2019-06-28T06:07:04Z,2024-11-04T23:55:34Z,16960,13452,77,5731,Portfolio
10267810,minimal-mistakes,mmistakes,12403,2013-05-24T14:13:30Z,2024-11-06T06:49:51Z,47239,12403,26,25564,Portfolio
281297416,hugo-PaperMod,adityatelange,9922,2020-07-21T04:45:10Z,2024-11-06T07:44:40Z,9551,9922,97,2693,Portfolio
13206906,purescript,purescript,8562,2013-09-30T05:29:23Z,2024-11-05T13:46:33Z,13829,8562,297,564,Portfolio
57165232,hugo-blox-builder,HugoBlox,8374,2016-04-26T22:09:15Z,2024-11-06T05:21:18Z,64417,8374,14,2905,Portfolio
138393139,the-book-of-secret-knowledge,trimstray,147921,2018-06-23T10:43:14Z,2024-11-06T07:22:21Z,1811,147921,76,9562,Blog
70107786,next.js,vercel,126779,2016-10-05T23:32:51Z,2024-11-06T07:33:03Z,2102110,126779,3530,26951,Blog
36040894,gatsby,gatsbyjs,55283,2015-05-21T22:43:05Z,2024-11-06T03:33:46Z,1146455,55283,389,10311,Blog
65252,jekyll,jekyll,49190,2008-10-20T06:29:03Z,2024-11-06T07:34:58Z,67255,49190,189,9976,Blog
348060227,astro,withastro,46608,2021-03-15T17:19:47Z,2024-11-06T07:06:11Z,186188,46608,172,2474,Blog
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,Blog
5923215,hexo,hexojs,39474,2012-09-23T15:17:08Z,2024-11-06T06:31:18Z,6872,39474,93,4856,Blog
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,Blog
126178683,halo,halo-dev,33967,2018-03-21T12:56:52Z,2024-11-06T07:41:29Z,75088,33967,300,9689,Blog
37382858,engineering-blogs,kilimchoi,31662,2015-06-13T18:25:17Z,2024-11-05T19:40:45Z,1339,31662,128,1626,Blog
574523116,awesome-chatgpt-prompts,f,112366,2022-12-05T13:54:13Z,2024-11-06T07:24:04Z,773,112366,299,15322,Chatbot
145553672,funNLP,fighting41love,68906,2018-08-21T11:20:39Z,2024-11-06T07:40:23Z,174188,68906,128,14499,Chatbot
620936652,gpt4free,xtekky,61018,2023-03-29T17:00:43Z,2024-11-06T06:56:47Z,162906,61018,26,13301,Chatbot
626805178,dify,langgenius,50773,2023-04-12T07:40:24Z,2024-11-06T07:43:03Z,55963,50773,330,7297,Chatbot
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,Chatbot
615882673,FastChat,lm-sys,36881,2023-03-19T00:18:02Z,2024-11-06T04:30:07Z,35159,36881,887,4543,Chatbot
640079149,quivr,QuivrHQ,36516,2023-05-12T23:53:30Z,2024-11-06T07:12:37Z,126552,36516,144,3565,Chatbot
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,Chatbot
680120071,autogen,microsoft,32660,2023-08-18T11:43:45Z,2024-11-06T07:16:42Z,134663,32660,520,4752,Chatbot
621799276,Langchain-Chatchat,chatchat-space,31895,2023-03-31T12:12:45Z,2024-11-06T07:42:01Z,143590,31895,115,5562,Chatbot
36633370,awesome-selfhosted,awesome-selfhosted,201812,2015-06-01T02:33:17Z,2024-11-06T07:30:06Z,16476,201812,0,9657,Social Network
65600975,pytorch,pytorch,83652,2016-08-13T05:26:41Z,2024-11-06T06:29:39Z,1002194,83652,15353,22569,Social Network
212639071,devops-exercises,bregman-arie,66540,2019-10-03T17:31:21Z,2024-11-06T05:14:02Z,4703,66540,33,14858,Social Network
3638964,ansible,ansible,62900,2012-03-06T14:58:02Z,2024-11-06T03:33:57Z,256322,62900,861,23903,Social Network
162998479,sherlock,sherlock-project,60008,2018-12-24T14:30:48Z,2024-11-06T05:58:50Z,17971,60008,215,6912,Social Network
41912791,v2ray-core,v2ray,45412,2015-09-04T11:42:53Z,2024-11-05T22:57:30Z,55125,45412,10,8947,Social Network
423275200,fuels-rs,FuelLabs,44059,2021-10-31T22:33:54Z,2024-11-05T02:34:35Z,16941,44059,94,1344,Social Network
402860175,fuels-ts,FuelLabs,44054,2021-09-03T18:11:03Z,2024-11-06T04:52:43Z,45245,44054,141,1344,Social Network
22458259,Alamofire,Alamofire,41125,2014-07-31T05:56:19Z,2024-11-06T02:00:58Z,38881,41125,41,7540,Social Network
191113739,interview_internal_reference,0voice,36615,2019-06-10T06:54:19Z,2024-11-05T23:50:34Z,1160,36615,31,9447,Social Network
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,Messaging
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,Messaging
19374812,tdesktop,telegramdesktop,26250,2014-05-02T12:36:31Z,2024-11-06T06:35:10Z,235960,26250,855,5215,Messaging
4307108,nsq,nsqio,24964,2012-05-12T14:37:08Z,2024-11-06T07:04:42Z,14163,24964,71,2902,Messaging
1213225,highlight.js,highlightjs,23681,2011-01-01T23:47:21Z,2024-11-06T03:50:18Z,14995,23681,104,3594,Messaging
75164823,rocketmq,apache,21219,2016-11-30T08:00:08Z,2024-11-06T02:37:55Z,42782,21219,428,11680,Messaging
600596928,LibreChat,danny-avila,18862,2023-02-12T01:06:52Z,2024-11-06T07:15:15Z,45854,18862,182,3142,Messaging
5901900,disruptor,LMAX-Exchange,17463,2012-09-21T13:42:24Z,2024-11-06T01:15:40Z,10070,17463,18,3926,Messaging
51575745,commitlint,conventional-changelog,16854,2016-02-12T08:37:56Z,2024-11-06T06:39:39Z,17851,16854,178,906,Messaging
6443435,nats-server,nats-io,15890,2012-10-29T16:12:24Z,2024-11-06T06:43:51Z,39265,15890,376,1404,Messaging
229764465,30-Days-Of-JavaScript,Asabeneh,43200,2019-12-23T14:07:40Z,2024-11-06T06:51:44Z,124975,43200,345,10018,Forum
7569578,discourse,discourse,42241,2013-01-12T00:25:55Z,2024-11-06T07:40:47Z,673107,42241,71,8317,Forum
37958358,tesseract.js,naptha,35236,2015-06-24T02:49:52Z,2024-11-06T01:45:46Z,109171,35236,34,2228,Forum
1213225,highlight.js,highlightjs,23681,2011-01-01T23:47:21Z,2024-11-06T03:50:18Z,14995,23681,104,3594,Forum
28628034,flarum,flarum,15365,2014-12-30T11:13:08Z,2024-11-06T06:34:00Z,737,15365,1,1571,Forum
9603889,NodeBB,NodeBB,14209,2013-04-22T16:49:40Z,2024-11-05T14:32:56Z,91376,14209,179,2797,Forum
2649214,arangodb,arangodb,13565,2011-10-26T06:42:00Z,2024-11-06T06:11:42Z,2845634,13565,777,838,Forum
170729130,lemmy,LemmyNet,13251,2019-02-14T17:17:17Z,2024-11-06T07:45:09Z,36149,13251,192,879,Forum
542931741,incubator-answer,apache,12885,2022-09-29T05:16:19Z,2024-11-06T07:29:31Z,12464,12885,78,993,Forum
6486826,ppsspp,hrydgard,11317,2012-11-01T08:41:48Z,2024-11-06T04:08:34Z,313520,11317,1238,2178,Forum
28457823,freeCodeCamp,freeCodeCamp,405102,2014-12-24T17:49:19Z,2024-11-06T07:42:14Z,473968,405102,242,38002,Community
291137,ohmyzsh,ohmyzsh,173758,2009-08-28T18:15:37Z,2024-11-06T07:29:07Z,12076,173758,425,25896,Community
15204860,papers-we-love,papers-we-love,87934,2013-12-15T14:31:41Z,2024-11-06T07:13:31Z,230581,87934,1,5742,Community
52281283,mastodon,mastodon,47064,2016-02-22T15:01:25Z,2024-11-06T05:14:14Z,262735,47064,4372,6964,Community
